overall_composition,Na2O at %,Fe2O3 at %,P2O5 at %,Na2O wt %,Fe2O3 wt %,P2O5 wt %,predicted_phases,salt_cation_loading,wf_volume_per_100g_salt,melting_temperature_value,cohesive_energy_value,bulk_modulus_value,has_no_salt_cations,has_no_phophates,has_unreacted_element,has_unreacted_waste_salt,has_binary_alkali_compounds,total_filter_score
Na0.85O3Fe0.3P0.85,42.5,15.0,42.5,23.81204287250466,21.653478649242643,54.5344784782527,0.64*NaFeP2O7 + 0.33*Na4P2O7 + 0.03*Na3Fe3(PO4)4,17.665141883460837,78.73351772120468,2125.0762250000053,5.083859927410951,152.01713519630368,False,False,False,False,True,-1
Na0.85O2.95Fe0.35P0.8,42.5,17.5,40.0,23.716937334901456,25.16149351188136,51.12156915321717,0.23*Na3Fe3(PO4)4 + 0.38*Na4P2O7 + 0.38*NaFeP2O7,17.594587129941402,79.03050816977658,2118.280486538467,5.077480814340438,151.48692199018552,False,False,False,False,True,-1
Na0.85O2.9Fe0.4P0.75,42.5,20.0,37.5,23.6225884800383,28.64159775684975,47.73581376311194,0.50*Na3Fe3(PO4)4 + 0.40*Na4P2O7 + 0.10*Na3Fe(PO4)2,17.524593727165193,78.53146336558427,2113.9699865000057,5.075316147722261,151.22170718964088,False,False,False,False,True,-1
Na0.85O2.85Fe0.45P0.7,42.5,22.5,35.0,23.528987313170074,32.09412315977656,44.37688952705336,0.72*Na3Fe(PO4)2 + 0.22*Na3Fe3(PO4)4 + 0.06*Fe2O3,17.455155002313337,72.1333749749506,2149.887841388895,5.104783187393027,152.6790450165227,False,False,False,False,False,0
Na0.85O2.8Fe0.5P0.65,42.5,25.0,32.5,23.436124981550645,35.51939625858812,41.04447875986123,0.69*Na3Fe(PO4)2 + 0.12*Na3Fe3(PO4)4 + 0.19*Fe2O3,17.386264387909968,69.85790446671571,2143.436511547625,5.059378903468938,147.81229680313916,False,False,False,False,False,0
Na0.85O2.75Fe0.55P0.6,42.5,27.500000000000004,30.0,23.3439927716417,38.91773845646076,37.73826877189753,0.67*Na3Fe(PO4)2 + 0.29*Fe2O3 + 0.04*Na3Fe3(PO4)4,17.317915419751586,67.58243395848098,2138.598014166673,5.025325690525872,144.1622356431015,False,False,False,False,False,0
Na0.85O2.7Fe0.6P0.55,42.5,30.0,27.500000000000004,23.252582106387226,42.289466122354334,34.45795177125843,0.56*Na3Fe(PO4)2 + 0.39*Fe2O3 + 0.06*Na4P2O7,17.25010173488517,66.33761792084576,2128.591722222228,4.985918603075084,140.17457900118072,False,False,False,False,True,-1
Na0.85O2.65Fe0.65P0.5,42.5,32.5,25.0,23.161884542551707,45.634890689193014,31.203224768255282,0.30*Na3Fe(PO4)2 + 0.20*Na4P2O7 + 0.50*Fe2O3,17.182817069633344,67.15411082441001,2109.349259500006,4.931134673823332,134.91675735623937,False,False,False,False,True,-1
Na0.85O2.6Fe0.7P0.45,42.5,35.0,22.5,23.071891768120402,48.95431874975713,27.973789482122463,0.32*Na4P2O7 + 0.59*Fe2O3 + 0.09*Na3Fe(PO4)2,17.116055257665888,67.97060372797424,2093.605426363642,4.88631145898099,130.61490328310555,False,False,False,False,True,-1
Na0.85O2.55Fe0.75P0.4,42.5,37.5,20.0,22.98259559976004,52.24805215034839,24.769352249891575,0.29*Na4P2O7 + 0.62*Fe2O3 + 0.08*Na3PO4,17.049810228115888,67.97391985516165,2088.556350000006,4.8641517437859765,128.9586812166375,False,False,False,False,True,-1
Na0.85O2.5Fe0.8P0.35,42.5,40.0,17.5,22.89398798033816,55.516388082288216,21.589623937373624,0.62*Fe2O3 + 0.15*Na4P2O7 + 0.23*Na3PO4,16.984076003739403,67.1640592059724,2091.7340096153903,4.85942548985814,129.3375606937584,False,False,False,False,True,-1
Na0.85O2.45Fe0.85P0.3,42.5,42.5,15.0,22.806060976499698,58.75961917130772,18.434319852192584,0.61*Fe2O3 + 0.36*Na3PO4 + 0.04*Na4P2O7,16.918846699117747,66.35419855678313,2094.4577178571485,4.855374415062851,129.66231453129066,False,False,False,False,True,-1
Na0.85O2.4Fe0.9P0.25,42.5,45.0,12.5,22.718806776299168,61.97803356488565,15.30315965881518,0.53*Fe2O3 + 0.33*Na3PO4 + 0.13*NaFeO2,16.85411651890085,64.73075185936696,2108.151811666673,4.883290385610717,132.84998982776088,False,False,False,False,True,-1
Na0.85O2.35Fe0.95P0.2,42.5,47.5,10.0,22.632217686887,65.17191501758909,12.195867295523911,0.44*Fe2O3 + 0.25*Na3PO4 + 0.31*NaFeO2,16.789879756090723,62.700512137837435,2125.4467437500057,4.922448220169998,137.0014972608952,False,False,False,False,True,-1
Na0.85O2.3Fe1P0.15,42.5,50.0,7.5,22.54628613224856,68.34154297447,9.112170893281428,0.47*NaFeO2 + 0.35*Fe2O3 + 0.18*Na3PO4,16.726130790364362,60.67027241630783,2140.7069779411827,4.9569992506634835,140.66459205483733,False,False,False,False,True,-1
