,overall_composition,Na2O at %,Fe2O3 at %,P2O5 at %,Na2O wt %,Fe2O3 wt %
97,Na0.1O4Fe0.8P1.1,5.0,40.0,55.00000000000001,2.1365606398493044,44.03864031173673
98,Na0.1O3.95Fe0.85P1.05,5.0,42.5,52.5,2.1300462502915027,46.64838904945739
99,Na0.1O3.9Fe0.9P1,5.0,45.0,50.0,2.123571464826631,49.24227187516637
100,Na0.1O3.85Fe0.95P0.95,5.0,47.5,47.5,2.117135923390828,51.82043303510524
101,Na0.1O3.8Fe1P0.9,5.0,50.0,45.0,2.110739270271776,54.38301503222992
102,Na0.1O3.75Fe1.05P0.85,5.0,52.5,42.5,2.104381154043167,56.9301586524669
103,Na0.1O3.7Fe1.1P0.8,5.0,55.00000000000001,40.0,2.0980612275003363,59.46200299049637
104,Na0.1O3.65Fe1.15P0.75,5.0,57.49999999999999,37.5,2.0917791475970646,61.978685475072126
105,Na0.1O3.6Fe1.2P0.7,5.0,60.0,35.0,2.0855345753835053,64.48034189388794
106,Na0.1O3.55Fe1.25P0.65,5.0,62.5,32.5,2.079327175945221,66.96710641799987
107,Na0.1O3.5Fe1.3P0.6,5.0,65.0,30.0,2.073156618343312,69.43911162581381
108,Na0.1O3.45Fe1.35P0.55,5.0,67.5,27.500000000000004,2.067022575555594,71.89648852664695
109,Na0.1O3.4Fe1.4P0.5,5.0,70.0,25.0,2.060924724418832,74.33936658387246
110,Na0.1O3.35Fe1.45P0.45,5.0,72.5,22.5,2.054862745571983,76.7678737376556
111,Na0.1O3.3Fe1.5P0.4,5.0,75.0,20.0,2.0488363234004447,79.18213642728965
112,Na0.1O3.25Fe1.55P0.35,5.0,77.5,17.5,2.0428451459812766,81.58227961314013
113,Na0.1O3.2Fe1.6P0.3,5.0,80.0,15.0,2.036888905029382,83.96842679820503
114,Na0.1O3.15Fe1.65P0.25,5.0,82.5,12.5,2.030967295844631,86.34070004929903
115,Na0.1O3.1Fe1.7P0.2,5.0,85.0,10.0,2.025080017259896,88.69922001786908
116,Na0.1O3.05Fe1.75P0.15,5.0,87.5,7.5,2.01922677159,91.0441059604493
117,Na0.1O3Fe1.8P0.1,5.0,90.0,5.0,2.0134072645815326,93.37547575876197
118,Na0.1O2.95Fe1.85P0.05,5.0,92.5,2.5,2.007621205363547,95.69344593947176
119,Na0.1O2.9Fe1.9,5.0,95.0,0.0,2.001868306399095,97.9981316936009
120,Na0.15O4.7P1.85,7.5,0.0,92.5,3.4192860442701285,0.0
121,Na0.15O4.65Fe0.05P1.8,7.5,2.5,90.0,3.4081652887752703,2.9270361454595126
122,Na0.15O4.6Fe0.1P1.75,7.5,5.0,87.5,3.3971166362174663,5.835094452313705
123,Na0.15O4.55Fe0.15P1.7,7.5,7.5,85.0,3.386139387628783,8.724358892272429
124,Na0.15O4.5Fe0.2P1.65,7.5,10.0,82.5,3.3752328530466107,11.595011066801932
125,Na0.15O4.45Fe0.25P1.6,7.5,12.5,80.0,3.364396351369093,14.447230245174277
126,Na0.15O4.4Fe0.3P1.55,7.5,15.0,77.5,3.353629210213354,17.281193401786197
127,Na0.15O4.35Fe0.35P1.5,7.5,17.5,75.0,3.3429307657764094,20.097075252763595
128,Na0.15O4.3Fe0.4P1.45,7.5,20.0,72.5,3.3323003626987613,22.895048291867678
129,Na0.15O4.25Fe0.45P1.4,7.5,22.5,70.0,3.3217373539305663,25.6752828257181
130,Na0.15O4.2Fe0.5P1.35,7.5,25.0,67.5,3.3112411006003533,28.43794700834845
131,Na0.15O4.15Fe0.55P1.3,7.5,27.500000000000004,65.0,3.300810971886213,31.18320687510851
132,Na0.15O4.1Fe0.6P1.25,7.5,30.0,62.5,3.290446344889421,33.91122637592784
133,Na0.15O4.05Fe0.65P1.2,7.5,32.5,60.0,3.2801466045104326,36.6221674079547
134,Na0.15O4Fe0.7P1.15,7.5,35.0,57.49999999999999,3.2699111433271986,39.31618984758377
135,Na0.15O3.95Fe0.75P1.1,7.5,37.5,55.00000000000001,3.2597393614757504,41.99345158188619
136,Na0.15O3.9Fe0.8P1.05,7.5,40.0,52.5,3.249630666533014,44.654108539454775
137,Na0.15O3.85Fe0.85P1,7.5,42.5,50.0,3.2395844734017887,47.298314720677006
138,Na0.15O3.8Fe0.9P0.95,7.5,45.0,47.5,3.229600204197857,49.92622222744838
139,Na0.15O3.75Fe0.95P0.9,7.5,47.5,45.0,3.2196772881391778,52.53798129233782
140,Na0.15O3.7Fe1P0.85,7.5,50.0,42.5,3.209815161437112,55.13374030721724
141,Na0.15O3.65Fe1.05P0.8,7.5,52.5,40.0,3.200013267189644,57.71364585136634
142,Na0.15O3.6Fe1.1P0.75,7.5,55.00000000000001,37.5,3.1902710552765514,60.27784271906429
143,Na0.15O3.55Fe1.15P0.7,7.5,57.49999999999999,35.0,3.180587982256486,62.826473946678654
144,Na0.15O3.5Fe1.2P0.65,7.5,60.0,32.5,3.170963511265919,65.35968083926272
145,Na0.15O3.45Fe1.25P0.6,7.5,62.5,30.0,3.161397111919924,67.87760299667126
146,Na0.15O3.4Fe1.3P0.55,7.5,65.0,27.500000000000004,3.151888260214744,70.380378339205
147,Na0.15O3.35Fe1.35P0.5,7.5,67.5,25.0,3.1424364384321084,72.86814313279373
148,Na0.15O3.3Fe1.4P0.45,7.5,70.0,22.5,3.133041135045276,75.34103201372753
149,Na0.15O3.25Fe1.45P0.4,7.5,72.5,20.0,3.123701844626749,77.79917801294592
150,Na0.15O3.2Fe1.5P0.35,7.5,75.0,17.5,3.1144180677576427,80.24271257989352
151,Na0.15O3.15Fe1.55P0.3,7.5,77.5,15.0,3.1051893109386524,82.6717656059519
152,Na0.15O3.1Fe1.6P0.25,7.5,80.0,12.5,3.0960150865026157,85.08646544745592
153,Na0.15O3.05Fe1.65P0.2,7.5,82.5,10.0,3.0868949125286056,87.48693894830319
154,Na0.15O3Fe1.7P0.15,7.5,85.0,7.5,3.0778283127575445,89.87331146216518
155,Na0.15O2.95Fe1.75P0.1,7.5,87.5,5.0,3.0688148165093043,92.24570687430813
156,Na0.15O2.9Fe1.8P0.05,7.5,90.0,2.5,3.0598539586012463,94.60424762303144
157,Na0.15O2.85Fe1.85,7.5,92.5,0.0,3.0509452792682006,96.9490547207318
158,Na0.2O4.6P1.8,10.0,0.0,90.0,4.627090702647455,0.0
159,Na0.2O4.55Fe0.05P1.75,10.0,2.5,87.5,4.611817868574831,2.9705772286161887
160,Na0.2O4.5Fe0.1P1.7,10.0,5.0,85.0,4.596645526184413,5.921608752655943
161,Na0.2O4.45Fe0.15P1.65,10.0,7.5,82.5,4.581572686910759,8.853286848810097
162,Na0.2O4.4Fe0.2P1.6,10.0,10.0,80.0,4.566598375112447,11.765801280037788
163,Na0.2O4.35Fe0.25P1.55,10.0,12.5,77.5,4.551721627861565,14.659339336511763
164,Na0.2O4.3Fe0.3P1.5,10.0,15.0,75.0,4.536941494737293,17.534085875765946
165,Na0.2O4.25Fe0.35P1.45,10.0,17.5,72.5,4.5222570376235005,20.390223362063345
166,Na0.2O4.2Fe0.4P1.4,10.0,20.0,70.0,4.5076673305102615,23.227931905001917
167,Na0.2O4.15Fe0.45P1.35,10.0,22.5,67.5,4.493171459299193,26.0473892973755
168,Na0.2O4.1Fe0.5P1.3,10.0,25.0,65.0,4.478768521612542,28.84877105230664
169,Na0.2O4.05Fe0.55P1.25,10.0,27.500000000000004,62.5,4.46445762660594,31.632250439667427
170,Na0.2O4Fe0.6P1.2,10.0,30.0,60.0,4.450237894784716,34.39799852180434
171,Na0.2O3.95Fe0.65P1.15,10.0,32.5,57.49999999999999,4.436108457823733,37.146184188582616
172,Na0.2O3.9Fe0.7P1.1,10.0,35.0,55.00000000000001,4.422068458390621,39.87697419176495
173,Na0.2O3.85Fe0.75P1.05,10.0,37.5,52.5,4.408117049972383,42.590533178739705
174,Na0.2O3.8Fe0.8P1,10.0,40.0,50.0,4.394253396705246,45.2870237256123
175,Na0.2O3.75Fe0.85P0.95,10.0,42.5,47.5,4.380476673207737,47.966606369674494
176,Na0.2O3.7Fe0.9P0.9,10.0,45.0,45.0,4.366786064416864,50.62943964126448
177,Na0.2O3.65Fe0.95P0.85,10.0,47.5,42.5,4.35318076542739,53.27568009503162
178,Na0.2O3.6Fe1P0.8,10.0,50.0,40.0,4.339659981334066,55.9054823406184
179,Na0.2O3.55Fe1.05P0.75,10.0,52.5,37.5,4.326222927076834,58.51899907277247
180,Na0.2O3.5Fe1.1P0.7,10.0,55.00000000000001,35.0,4.312868827288861,61.11638110090088
181,Na0.2O3.45Fe1.15P0.65,10.0,57.49999999999999,32.5,4.299596916147405,63.69777737807871
182,Na0.2O3.4Fe1.2P0.6,10.0,60.0,30.0,4.286406437227413,66.26333502952379
183,Na0.2O3.35Fe1.25P0.55,10.0,62.5,27.500000000000004,4.273296643357806,68.81319938054877
184,Na0.2O3.3Fe1.3P0.5,10.0,65.0,25.0,4.260266796480405,71.34751398400189
185,Na0.2O3.25Fe1.35P0.45,10.0,67.5,22.5,4.247316167511407,73.86642064720714
186,Na0.2O3.2Fe1.4P0.4,10.0,70.0,20.0,4.234444036205408,76.37005945841476
187,Na0.2O3.15Fe1.45P0.35,10.0,72.5,17.5,4.221649691021871,78.85856881277205
188,Na0.2O3.1Fe1.5P0.3,10.0,75.0,15.0,4.208932428994011,81.33208543782474
189,Na0.2O3.05Fe1.55P0.25,10.0,77.5,12.5,4.19629155560005,83.790744418559
190,Na0.2O3Fe1.6P0.2,10.0,80.0,10.0,4.1837263846367785,86.2346792219934
191,Na0.2O2.95Fe1.65P0.15,10.0,82.5,7.5,4.171236238095384,88.66402172133037
192,Na0.2O2.9Fe1.7P0.1,10.0,85.0,5.0,4.158820446039495,91.07890221967644
193,Na0.2O2.85Fe1.75P0.05,10.0,87.5,2.5,4.146478346485403,93.47944947334004
194,Na0.2O2.8Fe1.8,10.0,90.0,0.0,4.134209285284404,95.8657907147156
195,Na0.25O4.5P1.75,12.5,0.0,87.5,5.871493946121726,0.0
196,Na0.25O4.45Fe0.05P1.7,12.5,2.5,85.0,5.85182101318302,3.0154332617772823
197,Na0.25O4.4Fe0.1P1.65,12.5,5.0,82.5,5.832279471630217,6.010727078328206
198,Na0.25O4.35Fe0.15P1.6,12.5,7.5,80.0,5.81286800954115,8.986082538821803
199,Na0.25O4.3Fe0.2P1.55,12.5,10.0,77.5,5.793585332401494,11.941698064183129
200,Na0.25O4.25Fe0.25P1.5,12.5,12.5,75.0,5.7744301628169925,14.877769451202946
201,Na0.25O4.2Fe0.3P1.45,12.5,15.0,72.5,5.755401240231366,17.794489915775305
202,Na0.25O4.15Fe0.35P1.4,12.5,17.5,70.0,5.736497320649795,20.692050135282987
203,Na0.25O4.1Fe0.4P1.35,12.5,20.0,67.5,5.717717176367814,23.570638290150384
204,Na0.25O4.05Fe0.45P1.3,12.5,22.5,65.0,5.699059595705538,26.430440104582864
205,Na0.25O4Fe0.5P1.25,12.5,25.0,62.5,5.680523382747053,29.27163888651106
206,Na0.25O3.95Fe0.55P1.2,12.5,27.500000000000004,60.0,5.662107357084886,32.094415566758194
207,Na0.25O3.9Fe0.6P1.15,12.5,30.0,57.49999999999999,5.643810353569433,34.898948737447995
208,Na0.25O3.85Fe0.65P1.1,12.5,32.5,55.00000000000001,5.62563122206322,37.685414689670296
209,Na0.25O3.8Fe0.7P1.05,12.5,35.0,52.5,5.607568827199912,40.45398745042112
210,Na0.25O3.75Fe0.75P1,12.5,37.5,50.0,5.589622048147929,43.20483881883323
211,Na0.25O3.7Fe0.8P0.95,12.5,40.0,47.5,5.571789778378608,45.93813840171342
212,Na0.25O3.65Fe0.85P0.9,12.5,42.5,45.0,5.554070925438779,48.65405364840149
213,Na0.25O3.6Fe0.9P0.85,12.5,45.0,42.5,5.53646441072766,51.35274988496639
214,Na0.25O3.55Fe0.95P0.8,12.5,47.5,40.0,5.518969169277997,54.03439034775388
215,Na0.25O3.5Fe1P0.75,12.5,50.0,37.5,5.501584149541329,56.69913621630022
216,Na0.25O3.45Fe1.05P0.7,12.5,52.5,35.0,5.484308313177301,59.34714664562564
217,Na0.25O3.4Fe1.1P0.65,12.5,55.00000000000001,32.5,5.467140634846939,61.978578797921344
218,Na0.25O3.35Fe1.15P0.6,12.5,57.49999999999999,30.0,5.45008010200979,64.59358787364322
219,Na0.25O3.3Fe1.2P0.55,12.5,60.0,27.500000000000004,5.43312571472485,67.19232714202518
220,Na0.25O3.25Fe1.25P0.5,12.5,62.5,25.0,5.416276485455201,69.7749479710247
221,Na0.25O3.2Fe1.3P0.45,12.5,65.0,22.5,5.399531438876261,72.34159985671289
222,Na0.25O3.15Fe1.35P0.4,12.5,67.5,20.0,5.382889611687592,74.89243045212113
223,Na0.25O3.1Fe1.4P0.35,12.5,70.0,17.5,5.366350052428168,77.4275855955558
224,Na0.25O3.05Fe1.45P0.3,12.5,72.5,15.0,5.349911821295045,79.94720933839268
225,Na0.25O3Fe1.5P0.25,12.5,75.0,12.5,5.333573989965352,82.45144397236206
226,Na0.25O2.95Fe1.55P0.2,12.5,77.5,10.0,5.31733564142153,84.94043005633536
227,Na0.25O2.9Fe1.6P0.15,12.5,80.0,7.5,5.301195869779752,87.41430644262397
228,Na0.25O2.85Fe1.65P0.1,12.5,82.5,5.0,5.285153780121476,89.87321030280067
229,Na0.25O2.8Fe1.7P0.05,12.5,85.0,2.5,5.269208488328018,92.31727715305344
230,Na0.25O2.75Fe1.75,12.5,87.5,0.0,5.253359120918139,94.74664087908188
231,Na0.3O4.4P1.7,15.0,0.0,85.0,7.154184867238772,0.0
232,Na0.3O4.35Fe0.05P1.65,15.0,2.5,82.5,7.129846661275691,3.0616647258673884
233,Na0.3O4.3Fe0.1P1.6,15.0,5.0,80.0,7.1056734887779776,6.102568795001295
234,Na0.3O4.25Fe0.15P1.55,15.0,7.5,77.5,7.081663676819426,9.122922655910967
235,Na0.3O4.2Fe0.2P1.5,15.0,10.0,75.0,7.057815575008708,12.122933922292992
236,Na0.3O4.15Fe0.25P1.45,15.0,12.5,72.5,7.034127555111214,15.102807420603428
237,Na0.3O4.1Fe0.3P1.4,15.0,15.0,70.0,7.010598010678469,18.062745236675205
238,Na0.3O4.05Fe0.35P1.35,15.0,17.5,67.5,6.987225356684972,21.00294676140295
239,Na0.3O4Fe0.4P1.3,15.0,20.0,65.0,6.964008029172278,23.923608735517064
240,Na0.3O3.95Fe0.45P1.25,15.0,22.5,62.5,6.9409444849001325,26.824925293468016
241,Na0.3O3.9Fe0.5P1.2,15.0,25.0,60.0,6.918033201004542,29.707088006441584
242,Na0.3O3.85Fe0.55P1.15,15.0,27.500000000000004,57.49999999999999,6.895272674662575,32.57028592452492
243,Na0.3O3.8Fe0.6P1.1,15.0,30.0,55.00000000000001,6.872661422763766,35.41470561804292
244,Na0.3O3.75Fe0.65P1.05,15.0,32.5,52.5,6.8501979815879634,38.24053121808414
245,Na0.3O3.7Fe0.7P1,15.0,35.0,50.0,6.827880906489475,41.047944456234255
246,Na0.3O3.65Fe0.75P0.95,15.0,37.5,47.5,6.80570877158736,43.8371247035356
247,Na0.3O3.6Fe0.8P0.9,15.0,40.0,45.0,6.783680169461751,46.60824900869
248,Na0.3O3.55Fe0.85P0.85,15.0,42.5,42.5,6.761793710856034,49.361492135522006
249,Na0.3O3.5Fe0.9P0.8,15.0,45.0,40.0,6.740048024384802,52.09702659971942
250,Na0.3O3.45Fe0.95P0.75,15.0,47.5,37.5,6.718441756247396,54.81502270486695
251,Na0.3O3.4Fe1P0.7,15.0,50.0,35.0,6.696973569946955,57.515648577789136
252,Na0.3O3.35Fe1.05P0.65,15.0,52.5,32.5,6.675642146014843,60.19907020321785
253,Na0.3O3.3Fe1.1P0.6,15.0,55.00000000000001,30.0,6.654446181740305,62.86545145779924
254,Na0.3O3.25Fe1.15P0.55,15.0,57.49999999999999,27.500000000000004,6.633384390905269,65.5149541434549
255,Na0.3O3.2Fe1.2P0.5,15.0,60.0,25.0,6.612455503524174,68.14773802011165
256,Na0.3O3.15Fe1.25P0.45,15.0,62.5,22.5,6.591658265588691,70.76396083781341
257,Na0.3O3.1Fe1.3P0.4,15.0,65.0,20.0,6.570991438817265,73.36377836822922
258,Na0.3O3.05Fe1.35P0.35,15.0,67.5,17.5,6.550453800409336,75.94734443557027
259,Na0.3O3.0Fe1.4P0.3,15.0,70.0,15.0,6.530044142804174,78.51481094692897
260,Na0.3O2.95Fe1.45P0.25,15.0,72.5,12.5,6.509761273444183,81.06632792205262
261,Na0.3O2.9Fe1.5P0.2,15.0,75.0,10.0,6.489604014542636,83.60204352256395
262,Na0.3O2.85Fe1.55P0.15,15.0,77.5,7.5,6.469571202855678,86.12210408064036
263,Na0.3O2.8Fe1.6P0.1,15.0,80.0,5.0,6.449661689458564,88.62665412716373
264,Na0.3O2.75Fe1.65P0.05,15.0,82.5,2.5,6.429874339525998,91.11583641935196
265,Na0.3O2.7Fe1.7,15.0,85.0,0.0,6.410208032116518,93.58979196788349
266,Na0.35O4.3P1.65,17.5,0.0,82.5,8.476958122200017,0.0
267,Na0.35O4.25Fe0.05P1.6,17.5,2.5,80.0,8.447670882104005,3.1093358686439214
268,Na0.35O4.2Fe0.1P1.55,17.5,5.0,77.5,8.418585315577449,6.197260677003183
269,Na0.35O4.15Fe0.15P1.5,17.5,7.5,75.0,8.389699346664745,9.26399482287572
270,Na0.35O4.1Fe0.2P1.45,17.5,10.0,72.5,8.36101092780505,12.309755689475008
271,Na0.35O4.05Fe0.25P1.4,17.5,12.5,70.0,8.332518039348468,15.334757696795965
272,Na0.35O4Fe0.3P1.35,17.5,15.0,67.5,8.304218689082074,18.339212351934187
273,Na0.35O3.95Fe0.35P1.3,17.5,17.5,65.0,8.276110911765594,21.323328298383277
274,Na0.35O3.9Fe0.4P1.25,17.5,20.0,62.5,8.248192768676446,24.287311364334315
275,Na0.35O3.85Fe0.45P1.2,17.5,22.5,60.0,8.220462347163993,27.231364610001147
276,Na0.35O3.8Fe0.5P1.15,17.5,25.0,57.49999999999999,8.192917760212731,30.155688373994145
277,Na0.35O3.75Fe0.55P1.1,17.5,27.500000000000004,55.00000000000001,8.165557146014251,33.06048031876478
278,Na0.35O3.7Fe0.6P1.05,17.5,30.0,52.5,8.138378667547734,35.94593547514268
279,Na0.35O3.65Fe0.65P1,17.5,32.5,50.0,8.111380512168791,38.81224628598613
280,Na0.35O3.6Fe0.7P0.95,17.5,35.0,47.5,8.08456089120649,41.65960264896669
281,Na0.35O3.55Fe0.75P0.9,17.5,37.5,45.0,8.057918039568312,44.488191958507805
282,Na0.35O3.5Fe0.8P0.85,17.5,40.0,42.5,8.031450215352926,47.29819914689682
283,Na0.35O3.45Fe0.85P0.8,17.5,42.5,40.0,8.005155699470539,50.0898067245895
284,Na0.35O3.4Fe0.9P0.75,17.5,45.0,37.5,7.979032795270714,52.86319481972536
285,Na0.35O3.35Fe0.95P0.7,17.5,47.5,35.0,7.953079828177421,55.6185412168718
286,Na0.35O3.3Fe1P0.65,17.5,50.0,32.5,7.927295145331207,58.35602139501458
287,Na0.35O3.25Fe1.05P0.6,17.5,52.5,30.0,7.901677115238293,61.075808564811695
288,Na0.35O3.2Fe1.1P0.55,17.5,55.00000000000001,27.500000000000004,7.876224127426455,63.778073705127234
289,Na0.35O3.15Fe1.15P0.5,17.5,57.49999999999999,25.0,7.850934592107543,66.46298559886128
290,Na0.35O3.1Fe1.2P0.45,17.5,60.0,22.5,7.825806939846474,69.13071086809202
291,Na0.35O3.05Fe1.25P0.4,17.5,62.5,20.0,7.800839621236551,71.78141400854483
292,Na0.35O3Fe1.3P0.35,17.5,65.0,17.5,7.776031106581001,74.41525742340389
293,Na0.35O2.95Fe1.35P0.3,17.5,67.5,15.0,7.751379885580553,77.03240145648056
294,Na0.35O2.9Fe1.4P0.25,17.5,70.0,12.5,7.7268844670269425,79.63300442475287
295,Na0.35O2.85Fe1.45P0.2,17.5,72.5,10.0,7.702543378502208,82.21722265029
296,Na0.35O2.8Fe1.5P0.15,17.5,75.0,7.5,7.678355166083663,84.78521049157516
297,Na0.35O2.75Fe1.55P0.1,17.5,77.5,5.0,7.6543183940544015,87.33712037424037
298,Na0.35O2.7Fe1.6P0.05,17.5,80.0,2.5,7.630431644619218,89.8731028212254
299,Na0.35O2.65Fe1.65,17.5,82.5,0.0,7.60669351762585,92.39330648237414
300,Na0.4O4.2P1.6,20.0,0.0,80.0,9.841722308557232,0.0
301,Na0.4O4.15Fe0.05P1.55,20.0,2.5,77.5,9.807182110454784,3.1585150025896263
302,Na0.4O4.1Fe0.1P1.5,20.0,5.0,75.0,9.772883506838944,6.2949374911689295
303,Na0.4O4.05Fe0.15P1.45,20.0,7.5,72.5,9.738823971762518,9.409498449998184
304,Na0.4O4Fe0.2P1.4,20.0,10.0,70.0,9.705001014368795,12.502425654502265
305,Na0.4O3.95Fe0.25P1.35,20.0,12.5,67.5,9.671412178284305,15.573943726799232
306,Na0.4O3.9Fe0.3P1.3,20.0,15.0,65.0,9.638055041024147,18.62427419007987
307,Na0.4O3.85Fe0.35P1.25,20.0,17.5,62.5,9.60492721340959,21.65363552186564
308,Na0.4O3.8Fe0.4P1.2,20.0,20.0,60.0,9.572026338997633,24.662243206172157
309,Na0.4O3.75Fe0.45P1.15,20.0,22.5,57.49999999999999,9.53935009352223,27.650309784604133
310,Na0.4O3.7Fe0.5P1.1,20.0,25.0,55.00000000000001,9.50689618434699,30.61804490640745
311,Na0.4O3.65Fe0.55P1.05,20.0,27.500000000000004,52.5,9.474662349928913,33.56565537750292
312,Na0.4O3.6Fe0.6P1,20.0,30.0,50.0,9.442646359293072,36.49334520852589
313,Na0.4O3.55Fe0.65P0.95,20.0,32.5,47.5,9.410846011517902,39.40131566189521
314,Na0.4O3.5Fe0.7P0.9,20.0,35.0,45.0,9.379259135230807,42.289765297934245
315,Na0.4O3.45Fe0.75P0.85,20.0,37.5,42.5,9.347883588113945,45.158890020066224
316,Na0.4O3.4Fe0.8P0.8,20.0,40.0,40.0,9.316717256419867,48.00888311910538
317,Na0.4O3.35Fe0.85P0.75,20.0,42.5,37.5,9.285758054496837,50.8399353166652
318,Na0.4O3.3Fe0.9P0.7,20.0,45.0,35.0,9.255003924323558,53.65223480770388
319,Na0.4O3.25Fe0.95P0.65,20.0,47.5,32.5,9.224452835053135,56.44596730222729
320,Na0.4O3.2Fe1P0.6,20.0,50.0,30.0,9.194102782566024,59.22131606616853
321,Na0.4O3.15Fe1.05P0.55,20.0,52.5,27.500000000000004,9.1639517890318,61.978461961463246
322,Na0.4O3.1Fe1.1P0.5,20.0,55.00000000000001,25.0,9.133997902479488,64.71758348533895
323,Na0.4O3.05Fe1.15P0.45,20.0,57.49999999999999,22.5,9.104239196376325,67.4388568088362
324,Na0.4O3Fe1.2P0.4,20.0,60.0,20.0,9.0746737692147,70.14245581457942
325,Na0.4O2.95Fe1.25P0.35,20.0,62.5,17.5,9.045299744107156,72.82855213381397
326,Na0.4O2.9Fe1.3P0.3,20.0,65.0,15.0,9.016115268389182,75.49731518272637
327,Na0.4O2.85Fe1.35P0.25,20.0,67.5,12.5,8.987118513229712,78.14891219806346
328,Na0.4O2.8Fe1.4P0.2,20.0,70.0,10.0,8.958307673249092,80.78350827206668
329,Na0.4O2.75Fe1.45P0.15,20.0,72.5,7.5,8.929680966144375,83.4012663867364
330,Na0.4O2.7Fe1.5P0.1,20.0,75.0,5.0,8.901236632321798,86.00234744744128
331,Na0.4O2.65Fe1.55P0.05,20.0,77.5,2.5,8.872972934536229,88.58691031588765
332,Na0.4O2.6Fe1.6,20.0,80.0,0.0,8.844888157537488,91.1551118424625
333,Na0.45O4.1P1.55,22.5,0.0,77.5,11.250509153615235,0.0
334,Na0.45O4.05Fe0.05P1.5,22.5,2.5,75.0,11.2103901756647,3.2092748315293003
335,Na0.45O4Fe0.1P1.45,22.5,5.0,72.5,11.170556307164771,6.395742636788137
336,Na0.45O3.95Fe0.15P1.4,22.5,7.5,70.0,11.131004519639138,9.55964567550799
337,Na0.45O3.9Fe0.2P1.35,22.5,10.0,67.5,11.091731827352053,12.701222788432627
338,Na0.45O3.85Fe0.25P1.3,22.5,12.5,65.0,11.052735286557049,15.82070945742088
339,Na0.45O3.8Fe0.3P1.25,22.5,15.0,62.5,11.01401199476133,18.9183378642859
340,Na0.45O3.75Fe0.35P1.2,22.5,17.5,60.0,10.975559090005676,21.994336948402
341,Na0.45O3.7Fe0.4P1.15,22.5,20.0,57.49999999999999,10.937373750159312,25.048932463108866
342,Na0.45O3.65Fe0.45P1.1,22.5,22.5,55.00000000000001,10.899453192229483,28.08234703094245
343,Na0.45O3.6Fe0.5P1.05,22.5,25.0,52.5,10.861794671685328,31.09480019772096
344,Na0.45O3.55Fe0.55P1,22.5,27.500000000000004,50.0,10.824395481795698,34.08650848551337
345,Na0.45O3.5Fe0.6P0.95,22.5,30.0,47.5,10.78725295298067,37.05768544451751
346,Na0.45O3.45Fe0.65P0.9,22.5,32.5,45.0,10.750364452176305,40.00854170387368
347,Na0.45O3.4Fe0.7P0.85,22.5,35.0,42.5,10.713727382212417,42.9392850214392
348,Na0.45O3.35Fe0.75P0.8,22.5,37.5,40.0,10.677339181203036,45.85012033254871
349,Na0.45O3.3Fe0.8P0.75,22.5,40.0,37.5,10.641197321949228,48.74124979778414
350,Na0.45O3.25Fe0.85P0.7,22.5,42.5,35.0,10.60529931135402,51.61287284977769
351,Na0.45O3.2Fe0.9P0.65,22.5,45.0,32.5,10.569642689849116,54.4651862390708
352,Na0.45O3.15Fe0.95P0.6,22.5,47.5,30.0,10.534225030833136,57.29838407905103
353,Na0.45O3.1Fe1P0.55,22.5,50.0,27.500000000000004,10.49904394012114,60.11265788998846
354,Na0.45O3.05Fe1.05P0.5,22.5,52.5,25.0,10.464097055405098,62.90819664219271
355,Na0.45O3Fe1.1P0.45,22.5,55.00000000000001,22.5,10.42938204572515,65.68518679831085
356,Na0.45O2.95Fe1.15P0.4,22.5,57.49999999999999,20.0,10.39489661095132,68.44381235478605
357,Na0.45O2.9Fe1.2P0.35,22.5,60.0,17.5,10.360638481275483,71.18425488249667
358,Na0.45O2.85Fe1.25P0.3,22.5,62.5,15.0,10.326605416713374,73.90669356659421
359,Na0.45O2.8Fe1.3P0.25,22.5,65.0,12.5,10.29279520661634,76.61130524555865
360,Na0.45O2.75Fe1.35P0.2,22.5,67.5,10.0,10.25920566919268,79.2982644494892
361,Na0.45O2.7Fe1.4P0.15,22.5,70.0,7.5,10.225834651038308,81.9677434376475
362,Na0.45O2.65Fe1.45P0.1,22.5,72.5,5.0,10.192680026676564,84.61991223527093
363,Na0.45O2.6Fe1.5P0.05,22.5,75.0,2.5,10.159739698106945,87.25493866967149
364,Na0.45O2.55Fe1.55,22.5,77.5,0.0,10.127011594362534,89.87298840563747
365,Na0.5O4P1.5,25.0,0.0,75.0,12.70548360657034,0.0
366,Na0.5O3.95Fe0.05P1.45,25.0,2.5,72.5,12.659436215474898,3.261692809254845
367,Na0.5O3.9Fe0.1P1.4,25.0,5.0,70.0,12.613721390285008,6.49982884804057
368,Na0.5O3.85Fe0.15P1.35,25.0,7.5,67.5,12.568335541151434,9.714662397547672
369,Na0.5O3.8Fe0.2P1.3,25.0,10.0,65.0,12.523275129706732,12.906444092337388
370,Na0.5O3.75Fe0.25P1.25,25.0,12.5,62.5,12.478536668145662,16.075420985478214
371,Na0.5O3.7Fe0.3P1.2,25.0,15.0,60.0,12.434116718325258,19.221836612291288
372,Na0.5O3.65Fe0.35P1.15,25.0,17.5,57.49999999999999,12.390011890884058,22.34593105273905
373,Na0.5O3.6Fe0.4P1.1,25.0,20.0,55.00000000000001,12.346218844379983,25.44794099249085
