,overall_composition,Na2O at %,Fe2O3 at %,P2O5 at %,Na2O wt %,Fe2O3 wt %
760,Na1.35O2.1Fe0.2P0.45,67.5,10.0,22.5,46.61777865543864,17.794119133691048
761,Na1.35O2.05Fe0.25P0.4,67.5,12.5,20.0,46.38848214888071,22.13324512653457
762,Na1.35O2Fe0.3P0.35,67.5,15.0,17.5,46.161430260059866,26.429894767194607
763,Na1.35O1.95Fe0.35P0.3,67.5,17.5,15.0,45.93659019016511,30.68468872877031
764,Na1.35O1.9Fe0.4P0.25,67.5,20.0,12.5,45.71392977630524,34.898235650439446
765,Na1.35O1.85Fe0.45P0.2,67.5,22.5,10.0,45.49341747617128,39.07113242770112
766,Na1.35O1.8Fe0.5P0.15,67.5,25.0,7.5,45.27502235314071,43.20396449425859
767,Na1.35O1.75Fe0.55P0.1,67.5,27.500000000000004,5.0,45.05871406180862,47.29730609582165
768,Na1.35O1.7Fe0.6P0.05,67.5,30.0,2.5,44.84446283393174,51.35172055609736
769,Na1.35O1.65Fe0.65,67.5,32.5,0.0,44.632239464771565,55.36776053522844
770,Na1.4O2.2P0.6,70.0,0.0,30.0,50.46639101929051,0.0
771,Na1.4O2.15Fe0.05P0.55,70.0,2.5,27.500000000000004,50.20732481451666,4.6199549583882185
772,Na1.4O2.1Fe0.1P0.5,70.0,5.0,25.0,49.95090482732778,9.192719639436644
773,Na1.4O2.05Fe0.15P0.45,70.0,7.5,22.5,49.69709071927405,13.719013402976277
774,Na1.4O2Fe0.2P0.4,70.0,10.0,20.0,49.4458429676431,18.199541061705705
775,Na1.4O1.95Fe0.25P0.35,70.0,12.5,17.5,49.19712284494366,22.634993247062507
776,Na1.4O1.9Fe0.3P0.3,70.0,15.0,15.0,48.95089239900515,27.026046764107686
777,Na1.4O1.85Fe0.35P0.25,70.0,17.5,12.5,48.70711443367209,31.373364935806
778,Na1.4O1.8Fe0.4P0.2,70.0,20.0,10.0,48.46575249007234,35.67759793707007
779,Na1.4O1.75Fe0.45P0.15,70.0,22.5,7.5,48.22677082843968,39.939383118921576
780,Na1.4O1.7Fe0.5P0.1,70.0,25.0,5.0,47.99013441047137,44.15934532310902
781,Na1.4O1.65Fe0.55P0.05,70.0,27.500000000000004,2.5,47.75580888220275,48.33809718750823
782,Na1.4O1.6Fe0.6,70.0,30.0,0.0,47.52376055738102,52.476239442618976
783,Na1.45O2.1P0.55,72.5,0.0,27.500000000000004,53.51317332113664,0.0
784,Na1.45O2.05Fe0.05P0.5,72.5,2.5,25.0,53.23196081192248,4.729368529789073
785,Na1.45O2Fe0.1P0.45,72.5,5.0,22.5,52.9536884041378,9.409291097114528
786,Na1.45O1.95Fe0.15P0.4,72.5,7.5,20.0,52.678310229036285,14.040539112202152
787,Na1.45O1.9Fe0.2P0.35,72.5,10.0,17.5,52.405781367071214,18.623868021853703
788,Na1.45O1.85Fe0.25P0.3,72.5,12.5,15.0,52.136057823468576,23.16001772025188
789,Na1.45O1.8Fe0.3P0.25,72.5,15.0,12.5,51.8690965045507,27.649712947144216
790,Na1.45O1.75Fe0.35P0.2,72.5,17.5,10.0,51.60485519478362,32.09366367385599
791,Na1.45O1.7Fe0.4P0.15,72.5,20.0,7.5,51.3432925345224,36.49256547756388
792,Na1.45O1.65Fe0.45P0.1,72.5,22.5,5.0,51.08436799842985,40.84709990424482
793,Na1.45O1.6Fe0.5P0.05,72.5,25.0,2.5,50.82804187454503,45.15793482069797
794,Na1.45O1.55Fe0.55,72.5,27.500000000000004,0.0,50.57427524397865,49.42572475602135
795,Na1.5O2P0.5,75.0,0.0,25.0,56.70856897848088,0.0
796,Na1.5O1.95Fe0.05P0.45,75.0,2.5,22.5,56.40333583609723,4.844090257608235
797,Na1.5O1.9Fe0.1P0.4,75.0,5.0,20.0,56.10137092939488,9.636313183576831
798,Na1.5O1.85Fe0.15P0.35,75.0,7.5,17.5,55.80262204672153,14.377497383719756
799,Na1.5O1.8Fe0.2P0.3,75.0,10.0,15.0,55.50703808267584,19.068453907500967
800,Na1.5O1.75Fe0.25P0.25,75.0,12.5,12.5,55.21456900896317,23.70997671056037
801,Na1.5O1.7Fe0.3P0.2,75.0,15.0,10.0,54.925165846167566,28.302843102694062
802,Na1.5O1.65Fe0.35P0.15,75.0,17.5,7.5,54.63878063640698,32.84781418181959
803,Na1.5O1.6Fe0.4P0.1,75.0,20.0,5.0,54.355366416839615,37.345635254435344
804,Na1.5O1.55Fe0.45P0.05,75.0,22.5,2.5,54.07487719399037,41.79703624306166
805,Na1.5O1.5Fe0.5,75.0,25.0,0.0,53.79726791886825,46.20273208113175
806,Na1.55O1.9P0.45,77.5,0.0,22.5,60.06372321111249,0.0
807,Na1.55O1.85Fe0.05P0.4,77.5,2.5,20.0,59.73239383708421,4.964516029701466
808,Na1.55O1.8Fe0.1P0.35,77.5,5.0,17.5,59.4046998321597,9.874561041726263
809,Na1.55O1.75Fe0.15P0.3,77.5,7.5,15.0,59.080581691497855,14.731026634467405
810,Na1.55O1.7Fe0.2P0.25,77.5,10.0,12.5,58.759981201868506,19.534785053300507
811,Na1.55O1.65Fe0.25P0.2,77.5,12.5,10.0,58.442841406796965,24.28668971284502
812,Na1.55O1.6Fe0.3P0.15,77.5,15.0,7.5,58.12910657283119,28.98757570240371
813,Na1.55O1.55Fe0.35P0.1,77.5,17.5,5.0,57.81872215688981,33.63826027520924
814,Na1.55O1.5Fe0.4P0.05,77.5,20.0,2.5,57.511634774650425,38.23954332207967
815,Na1.55O1.45Fe0.45,77.5,22.5,0.0,57.20779216994028,42.79220783005972
816,Na1.6O1.8P0.4,80.0,0.0,20.0,63.59092425604379,0.0
817,Na1.6O1.75Fe0.05P0.35,80.0,2.5,17.5,63.23119479138272,5.091082105209016
818,Na1.6O1.7Fe0.1P0.3,80.0,5.0,15.0,62.87551236237229,10.124888416233006
819,Na1.6O1.65Fe0.15P0.25,80.0,7.5,12.5,62.523809055968194,15.102380074481472
820,Na1.6O1.6Fe0.2P0.2,80.0,10.0,10.0,62.176018470199566,20.02449683585087
821,Na1.6O1.55Fe0.25P0.15,80.0,12.5,7.5,61.83207567237458,24.892157662222164
822,Na1.6O1.5Fe0.3P0.1,80.0,15.0,5.0,61.49191715866548,29.706261293434384
823,Na1.6O1.45Fe0.35P0.05,80.0,17.5,2.5,61.155480815020326,34.46768680048159
824,Na1.6O1.4Fe0.4,80.0,20.0,0.0,60.82270587935109,39.17729412064892
825,Na1.65O1.7P0.35,82.5,0.0,17.5,67.30375375340806,0.0
826,Na1.65O1.65Fe0.05P0.3,82.5,2.5,15.0,66.91306068432687,5.224270395340962
827,Na1.65O1.6Fe0.1P0.25,82.5,5.0,12.5,66.52687732265574,10.38823787573772
828,Na1.65O1.55Fe0.15P0.2,82.5,7.5,10.0,66.14512603421058,15.49294055013526
829,Na1.65O1.5Fe0.2P0.15,82.5,10.0,7.5,65.76773095659367,20.53939283550129
830,Na1.65O1.45Fe0.25P0.1,82.5,12.5,5.0,65.39461794893529,25.528586128871996
831,Na1.65O1.4Fe0.3P0.05,82.5,15.0,2.5,65.0257145433364,30.46148945665094
832,Na1.65O1.35Fe0.35,82.5,17.5,0.0,64.66094989794557,35.33905010205443
833,Na1.7O1.6P0.3,85.0,0.0,15.0,71.21726151741002,0.0
834,Na1.7O1.55Fe0.05P0.25,85.0,2.5,12.5,70.79274502238782,5.364614595337025
835,Na1.7O1.5Fe0.1P0.2,85.0,5.0,10.0,70.37325950955352,10.665652672939876
836,Na1.7O1.45Fe0.15P0.15,85.0,7.5,7.5,69.95871607181378,15.904237751673731
837,Na1.7O1.4Fe0.2P0.1,85.0,10.0,5.0,69.54902788468556,21.081467032458978
838,Na1.7O1.35Fe0.25P0.05,85.0,12.5,2.5,69.14411014567078,26.19841216439277
839,Na1.7O1.3Fe0.3,85.0,15.0,0.0,68.74388001573672,31.256119984263275
840,Na1.75O1.5P0.25,87.5,0.0,12.5,75.34816943349814,0.0
841,Na1.75O1.45Fe0.05P0.2,87.5,2.5,10.0,74.88663042228204,5.512707332080362
842,Na1.75O1.4Fe0.1P0.15,87.5,5.0,7.5,74.43071122581641,10.958290557146706
843,Na1.75O1.35Fe0.15P0.1,87.5,7.5,5.0,73.98030982280905,16.33796823638743
844,Na1.75O1.3Fe0.2P0.05,87.5,10.0,2.5,73.53532664655361,21.652929612961337
845,Na1.75O1.25Fe0.25,87.5,12.5,0.0,73.09566451155099,26.904335488449
846,Na1.8O1.4P0.2,90.0,0.0,10.0,79.71511030653528,0.0
847,Na1.8O1.35Fe0.05P0.15,90.0,2.5,7.5,79.21295985642683,5.669208529200416
848,Na1.8O1.3Fe0.1P0.1,90.0,5.0,5.0,78.71709620973616,11.267439924855148
849,Na1.8O1.25Fe0.15P0.05,90.0,7.5,2.5,78.22740203702094,16.79601881999946
850,Na1.8O1.2Fe0.2,90.0,10.0,0.0,77.74376291038531,22.25623708961468
