Na2O,B2O3,SiO2,K_W_Tc,gamma_Tc,H_prime_Tc
0.0,0.0,1.0,0.16385855045784709,0.4716806188348184,0.25624863624072236
0.0,0.025,0.975,0.15608711025794636,0.4817730621141141,0.21576548651304425
0.0,0.05,0.95,0.1568859948119591,0.4854394032775396,0.2002664278563353
0.0,0.075,0.925,0.13715818863130097,0.4714705662308499,0.20498156428790204
0.0,0.1,0.9,0.1409381110764407,0.4725749361032232,0.1976393824023949
0.0,0.125,0.875,0.13632199726662644,0.467783721708305,0.18431724015847564
0.0,0.15,0.85,0.14073103945467916,0.4706350497921249,0.17854580456281036
0.0,0.175,0.825,0.13582247828367844,0.46657842855975074,0.1848995835744003
0.0,0.2,0.8,0.13604873749270344,0.4644366952738339,0.18805564405279618
0.0,0.225,0.775,0.1332154215595992,0.4681512167426177,0.18143811921412706
0.0,0.25,0.75,0.1329446610443279,0.47264602629570135,0.18566357080587845
0.0,0.275,0.725,0.13357489868126565,0.47509266634724345,0.19091492441008198
0.0,0.3,0.7,0.13681335252096935,0.4804477711809426,0.19233434930723828
0.0,0.325,0.675,0.1321395503762158,0.48085779498279485,0.1935755523391013
0.0,0.35,0.65,0.12822271459279758,0.48018287239248536,0.19109886189052677
0.0,0.375,0.625,0.12689711826946068,0.47823001665971987,0.18309243502117975
0.0,0.4,0.6,0.1248919616117072,0.48125543662136394,0.1884153568319349
0.0,0.425,0.575,0.12983007840849656,0.48376436433935976,0.19245920740828976
0.0,0.45,0.55,0.13718398180959926,0.48918727785612653,0.20009236413373954
0.0,0.475,0.525,0.13958821844974342,0.48968283320194994,0.2092115562588501
0.0,0.5,0.5,0.14408402806642495,0.4909234733652259,0.21598560199909525
0.0,0.525,0.475,0.13722360975606349,0.4936911114691305,0.2156225795007488
0.0,0.55,0.45,0.1404790756310563,0.4936132495246093,0.2136387940427904
0.0,0.575,0.425,0.1420457248453619,0.4906411594562131,0.21485385277050184
0.0,0.6,0.4,0.13922385939776324,0.4909604495499043,0.21497311559146062
0.0,0.625,0.375,0.13843357909956708,0.4896943471604019,0.21989932727002107
0.0,0.65,0.35,0.13299085685566958,0.48775114103684336,0.2206823415667712
0.0,0.675,0.325,0.12966244494627366,0.48680979776816957,0.2082539422389328
0.0,0.7,0.3,0.13106132131616405,0.4803293099676984,0.20042446362969127
0.0,0.725,0.275,0.12929539779942267,0.4760443424737329,0.2062322327456561
0.0,0.75,0.25,0.1320993569656724,0.47264843118921823,0.21218586514406582
0.0,0.775,0.225,0.13523265246084434,0.4720177941418004,0.21434159100725417
0.0,0.8,0.2,0.13941703025462565,0.4738115723059675,0.21792913216481977
0.0,0.825,0.175,0.14191527127781614,0.4740813578869517,0.2136410609304853
0.0,0.85,0.15,0.13781790787806605,0.4778355456879364,0.2124507022698986
0.0,0.875,0.125,0.1367352121678802,0.4763397822052488,0.20987448758530491
0.0,0.9,0.1,0.13661265910540404,0.47593718646343786,0.21388357647365885
0.0,0.925,0.075,0.15091655990433586,0.4779024458255264,0.22863876860055776
0.0,0.95,0.05,0.16729399323540523,0.4853564976145471,0.23551413471625593
0.0,0.975,0.025,0.17159500761535448,0.4926386838939962,0.24813334070260828
0.0,1.0,0.0,0.1768527715465799,0.49937500292708575,0.10522424780329163
0.025,0.0,0.975,0.16059003210351613,0.4419686747788248,0.2414666178221992
0.025,0.025,0.95,0.171588930150523,0.4928056257127303,0.26297277727736373
0.025,0.05,0.925,0.17092290447871586,0.4917068550881637,0.23590092852875344
0.025,0.075,0.9,0.14760648615249508,0.47236676726380333,0.2220328233503647
0.025,0.1,0.875,0.14858195472849503,0.473287465046557,0.22977599536706855
0.025,0.125,0.85,0.15075646291777411,0.47226886702477894,0.23526994405597676
0.025,0.15,0.825,0.15319988474709878,0.47324045038493645,0.2307149329291535
0.025,0.175,0.8,0.15199721270549843,0.47391831807159357,0.23935047106367535
0.025,0.2,0.775,0.1556269139862033,0.47313998918628,0.24268886495262346
0.025,0.225,0.75,0.15478491336392977,0.4740623401305395,0.24774113700947822
