Na2O,B2O3,SiO2,Tg,Tc,Tx,Tliq,T_Umax,log_Umax,ViscosityAtTl,K_W_Tc,K_W_Tx,gamma_Tc,H_prime_Tx,K_H_Tc,H_prime_Tc,K_H_Tx,deltaT_rg,K_cr,Jezica,GFA
0.0,0.0,1.0,1361.2399999999977,1236.1360009765604,1095.4049999999982,1677.6999999999969,1656.179999999997,-6.708417837833938,8.208804377324366,-0.0745687542608557,-0.15845204744590813,0.4067655172450139,-0.19528885427992126,-0.2833201966195558,-0.09190443935194205,-0.45652976584033894,-0.8400271756304124,1.8400271756304125,1.7593757682635731,2.6270006344925245
0.0,0.025,0.975,906.9199999999992,790.8249999999997,1017.8449999999985,1731.2199999999968,1635.6099999999972,-5.648471977632601,8.140175027889903,-0.06705964579891618,0.06407331246173195,0.2997661231018828,0.12230957526573401,-0.1234534424364228,-0.1280101883297309,0.15549325389872037,0.1345687249787695,0.8654312750212305,1.663470506564373,0.9193937230921407
0.0,0.05,0.95,914.3149999999991,835.8349999999996,974.5499999999988,1596.4199999999971,1602.519999999997,-5.7815702540716,8.696541489170862,-0.04915999548990849,0.0377312987810224,0.332904508042466,0.06587992103377908,-0.10318373357349911,-0.08583475060564427,0.09686108029009252,0.08830751863715976,0.9116924813628402,2.290247169168855,
0.0,0.075,0.925,1033.0099999999986,859.7849999999994,984.4499999999987,1507.5499999999975,1553.819999999997,-6.3485699607294395,8.684723152068422,-0.11490497827601043,-0.03221120360850388,0.33842341845892276,-0.047008257422483817,-0.2674195117056336,-0.16768956738076055,-0.09283119862359025,-0.1023306781304001,1.1023306781304,2.3281797020009387,
0.0,0.1,0.9,875.1449999999993,864.8849999999994,976.7099999999987,1474.209999999997,1497.0299999999975,-6.572384003568949,8.020533064190847,-0.0069596597499677094,0.06889452655998778,0.3681372121284356,0.11605505373395203,-0.01683830468140962,-0.01172377148929593,0.20415075376884362,0.16953919858446037,0.8304608014155397,1.6834143585490198,
0.0,0.125,0.875,862.5249999999993,943.5149999999988,975.9999999999986,1452.4599999999973,1490.2199999999973,-6.4578712985423286,7.190524798226548,0.055760571719702924,0.0781260757611222,0.40756851556273593,0.1315614040172742,0.15913310868561398,0.09389872757311338,0.23816269991184918,0.1923516997635328,0.8076483002364672,0.8663164362649507,
0.0,0.15,0.85,836.7199999999996,954.5799999999987,977.6849999999987,1424.2499999999973,1487.2199999999973,-6.362813530382238,6.548975972584884,0.08275232578550067,0.09897489906968537,0.4221993215301398,0.16847332440959842,0.2509421508718876,0.1408595468017965,0.3156651327354351,0.23992817388048215,0.7600718261195178,0.241803516327451,
0.0,0.175,0.825,816.5199999999998,957.9699999999987,977.4849999999986,1426.6999999999973,1474.5099999999975,-6.326548080138585,5.849518196908411,0.09914487979252763,0.11282329852106203,0.42705129233869166,0.1971354039092722,0.3017728756426926,0.17323519325919629,0.3583250781919557,0.2637992067914378,0.7362007932085621,-0.4591471255761972,
0.0,0.2,0.8,835.3099999999994,950.7749999999988,987.9349999999987,1393.2699999999975,1476.2999999999975,-6.184368962101306,5.454948311340249,0.0828733841968891,0.10954445297752739,0.42662816681474314,0.1827165962337329,0.26094080159097804,0.13823011815972458,0.37654039251483284,0.27354111405835513,0.7264588859416449,-0.8331222605566291,
0.0,0.225,0.775,877.1649999999993,945.9949999999989,992.0149999999987,1331.5599999999977,1479.2999999999975,-6.192973631910753,5.471857526198141,0.05169124936165077,0.08625221544654364,0.42829913185208673,0.1309331767683384,0.17851724093213803,0.07846870315163013,0.33824677141468673,0.2527536614619436,0.7472463385380564,-0.7768639547912475,
0.0,0.25,0.75,780.6199999999999,952.1949999999988,997.2599999999987,1300.5799999999977,1487.7699999999975,-6.149557742341873,5.343614136860173,0.13192191176244383,0.16657183718033433,0.45752210263309623,0.2775229945427979,0.492486760336982,0.21979324126975858,0.7142291968877741,0.41664743441803176,0.5833525655819682,-0.8846600056384029,
0.0,0.275,0.725,808.6599999999997,955.1199999999986,998.8599999999986,1272.8399999999976,1493.1299999999974,-6.124180082700003,5.22948837934738,0.11506552276798275,0.14942962194776976,0.4588613980302666,0.2352039175920646,0.4609719249653763,0.1811144362278324,0.6942112562960786,0.4097548364858455,0.5902451635141545,-0.9800592504512151,
0.0,0.3,0.7,771.74,956.3499999999987,994.0549999999987,1257.0199999999977,1493.2799999999975,-6.059435277445655,5.046283980641949,0.14686321617794384,0.17685876119711627,0.4713963209053805,0.28806981625936023,0.6139954102504381,0.2392126882110538,0.8454166904340864,0.4581169634025712,0.5418830365974289,-1.1524003946512673,
0.0,0.325,0.675,751.9950000000001,956.5299999999987,990.5999999999987,1237.7499999999977,1493.2799999999975,-6.085855635001987,4.970613520308568,0.16524742476267337,0.1927731771359313,0.4807299427816126,0.3172959926595237,0.727313135623353,0.2719898403579792,0.9654258547440803,0.49120441374767054,0.5087955862523295,-1.2146523496984738,
0.0,0.35,0.65,719.5250000000004,957.1299999999987,991.9549999999987,1207.3799999999978,1486.3099999999974,-6.076346903738821,4.98195031639494,0.19679388427835373,0.2256373304179287,0.49671883149402773,0.3786247871859881,0.9494705294705261,0.33022480108404595,1.2646164558430977,0.558424121921472,0.44157587807852805,-1.1817376387625815,
0.0,0.375,0.625,680.2000000000007,955.2299999999987,989.4899999999986,1182.029999999998,1482.8699999999974,-6.009220342508977,4.95186763125802,0.23267598961109143,0.26166002554926565,0.51294952825376,0.4547044986768562,1.212654320987649,0.4043369597177266,1.6063675080502704,0.6163242532331659,0.3836757467668341,-1.1933893669578648,
0.0,0.4,0.6,649.0700000000011,955.2299999999987,986.7649999999987,1170.219999999998,1473.8699999999974,-5.966167819898918,4.825115326549442,0.2616260190391534,0.2885739433610759,0.5250564780766118,0.5202751629254119,1.42406623563886,0.4716902645323264,1.8407511378812191,0.6479804278998362,0.3520195721001637,-1.3114197060100619,
0.0,0.425,0.575,628.560000000001,955.3299999999987,986.1199999999986,1133.5499999999981,1470.1699999999973,-5.9791483767543685,4.889718508557301,0.28827135988707886,0.3154338141237689,0.5421511710392649,0.5688557973781295,1.8335203680843828,0.5198708158330106,2.4252865766804512,0.7080536248242533,0.2919463751757467,-1.2191628539896104,
