Na2O,B2O3,SiO2,Tg,Tc,Tx,Tliq,T_Umax,log_Umax,ViscosityAtTl,K_W_Tc,K_W_Tx,gamma_Tc,H_prime_Tx,K_H_Tc,H_prime_Tc,K_H_Tx,deltaT_rg,K_cr,Jezica,GFA
0.0,0.0,1.0,1447.2629894256593,1194.6168030738831,1219.372333431244,1936.215464180426,1703.2505147695542,-7.144477951905862,5.795298728736132,-0.13048454111935207,-0.11769901656625718,0.3530735659926162,-0.1574631961568041,-0.34067778112598207,-0.17456826312682658,-0.31790868353058477,-0.4660793589575623,1.4660793589575623,-0.778608640119625,2.028612431110104
0.0,0.025,0.975,1012.0465759277344,1157.2213975429536,1249.2686938285829,1660.5296110051936,1801.4270955562592,-5.552766443206771,8.790597380472356,0.08742681892154777,0.14285931207047084,0.4329984691179154,0.23439841954248897,0.2884411931539257,0.14344677909921164,0.5768165852700671,0.3658108309225284,0.6341891690774716,2.350104131556275,
0.0,0.05,0.95,984.08577003479,1143.6591942548753,1231.916920566559,1619.088820412155,1723.3459990262986,-5.979488241772037,8.481696013759603,0.09855754805314774,0.1530682859441158,0.439332497502028,0.2518389738762379,0.3356404721974474,0.16215397994673159,0.6401062438431194,0.3902834016064799,0.6097165983935201,2.0631546656576703,
0.0,0.075,0.925,948.6773780822754,1135.756191277504,1215.3507427215577,1579.6162549888365,1648.9974031686784,-6.370248577391945,7.990023667870069,0.11843307677063047,0.16882161334884907,0.4492184675155409,0.28110016197324644,0.4214815174651457,0.19719961444996534,0.7320851292768322,0.42266117115299473,0.5773388288470053,1.5929204795090577,
0.0,0.1,0.9,908.7579597473144,1133.9309086441995,1199.648322248459,1541.7198989441918,1575.2749752044679,-6.747790900387759,7.381370969019553,0.14605308594063623,0.1886791256312859,0.4627386877307637,0.32009663231123536,0.552180059425428,0.2477809921571369,0.8503786409587806,0.4595700696794434,0.5404299303205566,1.0053600132792386,
0.0,0.125,0.875,881.7122577667236,1130.281240963936,1183.6095794677735,1504.0188857979692,1514.0197011470796,-7.038210456027504,6.722546983941932,0.1652698550160373,0.20072708165554443,0.47376723232740353,0.3423989164738634,0.6650894996344161,0.2819162158716146,0.9422239483578908,0.4851263157137575,0.5148736842862425,0.3680404045871368,
0.0,0.15,0.85,876.2912601470947,1125.0869087815286,1167.6148423194886,1466.7881918514374,1461.9441628694535,-7.2015066046547656,6.208025901992322,0.16961934246306842,0.198613258404183,0.48017445922368723,0.3324506307680076,0.7281086169744718,0.28391889768782,0.9737618094264221,0.4933532530500216,0.5066467469499785,-0.1247089081735675,3.767724935430814
0.0,0.175,0.825,879.9484771728515,1119.2638581633569,1150.384875202179,1430.2913222058723,1415.2209146261216,-7.284096484194172,5.823515598230411,0.16731932668193794,0.18907784297554564,0.4844795152712512,0.307332082553516,0.7694348848813957,0.2719652197812665,0.9661670923419609,0.4913962277698027,0.5086037722301974,-0.48733340920434376,3.357396549862729
0.0,0.2,0.8,876.5711769104004,1113.625628733635,1134.2084228038789,1399.7895676752055,1379.433959388733,-7.279535222176036,5.409797608033405,0.1693500632505347,0.18405426918659415,0.4892131580560892,0.293914804273576,0.8283868774661959,0.2704337743099959,0.9700886183704912,0.4924086202644404,0.5075913797355596,-0.8823278969423693,3.2222762009012587
0.0,0.225,0.775,858.7300724029541,1110.3355667829514,1121.4420002937318,1370.63576226829,1343.1126996517182,-7.338833374516507,5.20157326655451,0.18356845874472943,0.1916715841822272,0.498049960896924,0.30593074160736,0.9665974084685971,0.29299718557187426,1.0542476096074977,0.5132037660294182,0.48679623397058186,-1.0722708516990007,3.1505616799914082
0.0,0.25,0.75,834.3398975372314,1106.304180109501,1110.6998368740083,1342.583690808476,1312.1127664089204,-7.396574874511618,5.05642168751913,0.20256784320722557,0.20584187133269782,0.5081961470913208,0.33123183986828897,1.1510277880960984,0.3259634153599055,1.19180328706663,0.5437546763887117,0.4562453236112883,-1.199461046957306,3.164114308505829
0.0,0.275,0.725,802.185249710083,1101.3335917234422,1101.6504897117616,1313.9600543403421,1285.3224071502686,-7.4314886746334015,4.94805071967565,0.22766928189726668,0.22791045969203494,0.5204432746727862,0.37331182555389547,1.406919620124378,0.37291678215408985,1.4105122419970586,0.5851504163399224,0.4148495836600776,-1.2891136052265715,3.225976403922231
0.0,0.3,0.7,760.4292263031006,1096.8839298129083,1089.2651180267335,1281.2651393705378,1259.7114506006242,-7.430872736198375,4.880071255834711,0.2625956901278855,0.2566493707033846,0.5372419830580281,0.43243457819513337,1.8247776132775972,0.44245367204718633,1.7126867456686574,0.6313617849179606,0.36863821508203937,-1.3352067642332246,3.3487761923928963
0.0,0.325,0.675,709.0594791412353,1094.3776239395143,1074.372690343857,1246.14647621682,1238.3159379005433,-7.4326843198308055,4.912153957140337,0.3092077473653559,0.2931543106486784,0.5597249849513177,0.5152081340835668,2.538848643951274,0.5434214704596434,2.126711065638341,0.680175117237498,0.319824882762502,-1.2789842303532497,3.7903177644970145
0.0,0.35,0.65,668.4354709625244,1089.7844298124314,1061.2825960159303,1210.373954663532,1220.146943473816,-7.4337747622196755,4.960438361584421,0.34811469399722544,0.3245667370317896,0.5800398991767319,0.5877113679914672,3.4940759520378983,0.6303509869743729,2.634942283824477,0.7248924681830553,0.27510753181694475,-1.2054007779838312,
